cons_pct,threatF4,bldg_dens,threatF1,avg_parcsz,threatF2,pop_chg,threatF3,threat,ThreatF5,F1raw,F1rcl,F2raw,F2rcl,F3raw,F3rcl,F4raw,F4rcl,F5raw,F5rcl,F6raw,F6rcl,F7raw,F7rcl,F8raw,F8rcl,F9raw,F9rcl,F10raw,F10rcl,F11raw,F11rcl,Fwght,Fwghtrcl,threatrcl,OBJECTID,ACRES,Shapearea,Shapelen
98.18212353,10,11.72729969,5,22.77070045,6,2.87052011,9,6.2,1,100.21299743,3,0.50928297,4,0,0,0,0,84.07569222,1,3.19483542,1,1.86772176,9,31.67253137,10,0,0,0.51153905,2,0,0,2.15,2,6,32,84.07568611,340243.59131435,3693.59725228418
0,1,6.52173995,8,35.60260009,9,10.61240005,4,5.2,4,138.52999877,2,5.51682639,7,0,0,55.01970335,7,910.75300195,4,0.54123126,4,0.01263789,2,3.42893187,6,0,0,1.50451329,3,0,0,3.6,4,5,33,910.75299356,3685701.34399686,14571.1620805311
77.38263183,10,2,10,18.43779945,5,15.88129997,3,7,7,174.65499877,2,0.22984826,3,0,0,0,0,38.58992553,1,0.18243103,7,0,0,81.54667199,10,3,9,0,0,0,0,2.4,3,7,34,38.58992582,156168.51385567,2013.53544852231
14.2841871,6,7.02564001,8,36.3050003,9,10.96619987,4,7.4,10,168.90800476,2,0.45085396,4,0,0,0,0,74.42985673,1,0,10,1.18326171,8,34.34777536,10,0,0,36.49718162,10,0,0,3.25,4,8,35,74.4298522,301208.1302257,4522.44557271781
0,1,15.43239974,4,13.27320003,3,9.60169029,5,4.6,10,100.88300323,3,0.3255483,4,0,0,0,0,155.44880008,2,0,10,0.08369315,3,2.53861078,5,0,0,2.53861078,4,0,0,2.75,3,4,36,155.44880745,629081.52110844,4136.15841777773
0,1,4,10,24.50589942,6,5.81794977,7,6.8,10,10.47329998,10,0.20008758,3,0,0,0,0,33.03173874,1,0,10,0.07962039,3,0.00817395,2,0,0,0,0,0,0,3.2,4,7,37,33.03173821,133675.23665648,2725.95184404565
11.51235938,5,7.30488014,7,22.77070045,6,2.87052011,9,6.2,4,127.1080017,3,0.46696857,4,1,1,0,0,335.78607753,3,0.55368585,4,0.01116782,2,4.98561468,6,0,0,6.68978302,7,0,0,2.55,3,6,38,335.78607327,1358883.46270368,9889.35862370084
8.08382277,4,5.7800002,9,12.54950046,3,23.61030006,2,5.6,10,175.48699951,2,1.81942818,6,1,1,0,0,305.4693392,3,0,10,0.046093,3,90.36723643,10,2.98035001,9,0.72973608,2,0,0,3.65,4,6,39,305.46936102,1236195.59030531,6566.08020691841
22.22424918,7,2.6552,10,66.20480346,10,1.45244002,9,8.4,6,0.76194298,10,0.13111108,2,1,1,68.59097248,8,2501.32814555,6,0.29350167,6,3.76932551,10,2.98811254,5,1.80554997,6,4.12959491,6,0,0,5.85,7,9,40,2501.32821262,10122556.6319688,34654.8536643993
0,1,5.54794979,9,35.60260009,9,10.61240005,4,5.6,5,71.03720092,5,0.21408834,3,0,0,0,0,153.94587759,2,0.34048329,5,0.04871842,3,12.01428728,8,0,0,2.14018072,4,0,0,2.6,3,6,41,153.94588097,622999.3691367,6677.06932945173
0,1,2.07801008,10,38.64619827,9,12.14579963,4,6.8,10,247.45100402,1,1.69493112,6,0,0,0,0,279.81007484,3,0,10,1.68246264,9,22.67044888,9,0,0,1.73397616,3,0,0,3.25,4,7,42,279.810063,1132355.67994455,12219.0289953932
0,1,12.4666996,5,22.77070045,6,2.87052011,9,6.2,10,44.11930084,6,0.13091511,2,0,0,0,0,63.43154882,1,0,10,0,0,2.08451476,5,0,0,2.08451476,4,0,0,2.7,3,6,43,63.43154017,256699.36253488,3133.90335505934
0,1,7.38094997,7,18.43779945,5,15.88129997,3,4.2,5,137.57899475,2,0.47897362,4,0,0,0,0,80.41634052,1,0.33187284,5,0,0,39.47792176,10,3,9,0,0,0,0,2.3,2,4,44,80.41633376,325434.65851152,4120.60842703995
19.64158416,7,4.58423995,9,18.43779945,5,15.88129997,3,6.4,8,141.40199279,2,4.32551875,7,7,4,0,0,726.22451842,4,0.07772802,8,1.96509476,9,49.37490967,10,3,9,13.6181797,9,0,0,4.65,6,6,45,726.22446544,2938937.89784198,25373.092267235
4.52017842,3,14,4,22.77070045,6,2.87052011,9,6.4,10,81.53639984,4,0.14460883,2,0,0,0,0,23.87295145,1,0,10,0,0,0.43061286,3,0,0,41.18602603,10,0,0,2.6,3,6,46,23.87295447,96610.80557756,2696.59235123732
0,1,7.00568008,8,12.54950046,3,23.61030006,2,3,1,294.18399047,1,2.06655933,6,1,1,0,0,346.96094175,3,1.67396363,1,1.639637,9,37.43003444,10,3,9,1.85713122,3,0,0,2.95,3,3,47,346.96093291,1404106.69613136,10871.7668012418
0,1,7,8,13.27320003,3,9.60169029,5,4.2,4,32.18209838,7,1.10128973,5,10,5,0,0,184.89888811,2,0.45620609,4,0,0,53.48615181,10,0,0,0.5794302,2,0,0,3.35,4,4,48,184.89888758,748262.24375952,6251.01600242395
0,1,3,10,47.97880172,10,7.14589977,6,7.4,10,13.19050025,10,0.09778638,1,0,0,0,0,46.69284569,1,0,10,0,0,0,0,0,0,0,0,0,0,2.75,3,8,49,46.69284947,188960.01361028,2514.13739782877
0,1,7.22727012,7,12.54950046,3,23.61030006,2,4.6,10,163.74200439,2,1.00019993,5,1,1,0,0,167.92661369,2,0,10,0.04537696,3,78.23167341,10,3,9,0.92040205,2,0,0,3.4,4,4,50,167.92660955,679577.59666616,5773.79106723436
0,1,8.17212963,7,24.50589942,6,5.81794977,7,5.8,8,32.95449829,7,1.51144494,6,0,0,0,0,249.51900333,2,0.02128895,8,0,0,15.8232437,9,0,0,23.13109591,9,0,0,3.65,4,6,51,249.5190012,1009771.61160232,11428.3054709705
64.84165329,10,2.54286003,10,18.43779945,5,15.88129997,3,6,2,160.22399902,2,0.43842248,4,0,0,0,0,73.60808611,1,0.96337241,2,0,0,17.40365858,9,3,9,0,0,0,0,1.95,2,6,52,73.60808482,297882.5423246,3422.67938863379
7.54077727,4,7.53085994,7,12.54950046,3,23.61030006,2,5.2,10,168.08000183,2,1.92994008,6,0,0,0,0,324.02351869,3,0,10,0.22992158,5,60.57887427,10,3,9,0,0,0,0,3.55,4,5,53,324.02351964,1311281.90658978,6797.23069957396
0,1,3.66667008,10,38.64619827,9,12.14579963,4,6.8,10,221.28300476,2,0.16440261,3,0,0,0,0,27.14063561,1,0,10,0,0,4.91734983,6,0,0,7.88544538,8,0,0,2.45,3,7,54,27.14063547,109834.69430508,1508.81495386301
0,1,5.52631998,9,18.43779945,5,15.88129997,3,5.6,10,131.65699768,3,0.2258546,3,0,0,0,0,37.91941819,1,0,10,0,0,1.20861559,4,3,9,5.52075981,7,0,0,2.9,3,6,55,37.91942048,153455.06412352,2099.59046429892
0,1,3,10,38.64619827,9,12.14579963,4,6.8,10,205.97999572,2,0.20395203,3,0,0,0,0,33.66970731,1,0,10,0,0,0.88578138,3,0,0,0.88578138,2,0,0,2,2,7,56,33.66971231,136257.03654376,2995.15059904409
36.171658,8,12.51159954,5,22.77070045,6,2.87052011,9,6,2,111.51899719,3,0.51824609,4,0,0,0,0,85.55538149,1,1.09290611,2,0,0,3.09647383,6,0,0,3.72904654,5,0,0,1.75,2,6,57,85.55537012,346231.68398639,4404.4513992308
0,1,8.17500019,7,13.27320003,3,9.60169029,5,5.2,10,133.1040039,3,0.16908587,3,0,0,0,0,80.73823538,1,0,10,0.23049797,5,1.4514065,4,0,0,1.4514065,3,0,0,2.5,3,5,58,80.73823099,326737.3355638,3718.22365360268
0,1,3.27778005,10,35.60260009,9,10.61240005,4,6.8,10,84.2668991,4,1.23209597,6,0,0,0,0,206.86034603,2,0,10,0.03896348,3,14.4648796,8,3,9,0,0,0,0,3.5,4,7,59,206.86034437,837137.4617253,8062.45485191033
17.44495276,6,5.19616985,9,38.64619827,9,12.14579963,4,7.6,10,197.30499267,2,0.57426692,5,0,0,0,0,412.94178888,3,0,10,0.02646862,2,0.03533185,2,0,0,1.01717,2,0,0,2.55,3,8,60,412.94177908,1671122.77524852,12285.2089794934
57.27523112,9,19.26619911,3,34.3736,8,10.23379993,4,6.8,10,139.2230072,2,1.71603378,6,0,0,0,0,283.29383718,3,0,10,0.05577248,3,1.28115741,4,0,0,1.28115741,3,0,0,2.85,3,7,61,283.29383387,1146454.05683694,7163.09308593842
0,1,19.08819961,3,24.50589942,6,5.81794977,7,5.4,10,44.47809982,6,0.40316049,4,0,0,0,0,66.55631474,1,0,10,0.2375432,6,56.21915837,10,0,0,39.41852865,10,0,0,3.75,4,5,62,66.5563156,269344.93063224,4782.41685315599
0,1,3.84186005,10,47.97880172,10,7.14589977,6,7.4,10,73.26899719,4,2.62948749,7,0,0,0,0,441.47266473,3,0,10,0.02903917,2,0.04679791,2,0,0,2.22237995,4,0,0,3.15,4,8,63,441.47265501,1786583.59560624,8449.59948156286
0,1,6.1935501,8,47.97880172,10,7.14589977,6,5.6,3,115.70300293,3,0.25266105,3,0,0,0,0,120.64525241,2,0.69811284,3,0.53205574,7,1.22965468,4,0,0,1.22965468,3,0,0,2.05,2,6,64,120.64525044,488235.95953128,7490.77819319307
0,1,15.1559,4,13.27320003,3,9.60169029,5,3.2,3,179.82099914,2,0.80461953,5,0,0,0,0,384.20455217,3,0.61433941,3,0.10533451,4,0.30793492,2,0,0,2.55813731,4,0,0,2.05,2,3,65,384.20453803,1554826.82154694,11379.3449409924
0,1,4.2335,10,47.97880172,10,7.14589977,6,6.2,4,96.80030059,4,0.84339246,5,0,0,0,0,402.71856788,3,0.49773716,4,0,0,1.62450915,4,0,0,12.12098072,9,0,0,2.6,3,6,66,402.71855796,1629750.70171033,12664.7203101088
0,1,3.35135006,10,47.97880172,10,7.14589977,6,7,8,30.36540031,7,3.07032027,7,0,0,0,0,515.48542303,4,0.09100548,8,0.07639401,3,5.66941346,7,0,0,1.4000939,3,0,0,3.8,4,7,67,515.48543494,2086103.88746798,14845.6432874931
0,1,12.36299991,5,35.60260009,9,10.61240005,4,5.8,10,122.74199676,3,1.66346246,6,1,1,0,0,274.61502752,3,0,10,0.00131092,2,33.97476126,10,0,0,4.85520407,6,0,0,3.5,4,6,68,274.61501981,1111332.00195372,9182.26440982973
0,1,7.42028999,7,35.60260009,9,10.61240005,4,6,9,94.69999694,4,1.71821893,6,0,0,35.2771086,5,1235.53068039,5,0.00569795,9,0.13854775,4,4.18666252,6,0,0,0.74860787,2,0,0,4.2,5,6,69,1235.53070068,5000035.3512421,22466.5381810432
22.96633979,7,12.23200035,5,35.60260009,9,10.61240005,4,7,10,79.88069915,4,4.47512377,7,9,5,39.56339937,5,738.78206774,4,0,10,0.41682116,7,44.26957749,10,0,0,4.43272264,6,0,0,5.3,6,7,70,738.78206358,2989756.89779444,13355.3755790185
21.26491874,7,27.16670036,2,24.50589942,6,5.81794977,7,4.8,2,101.26899719,3,0.2793796,4,0,0,0,0,46.90589283,1,1.20752418,2,3.37612164,10,25.59912896,9,0,0,43.47905725,10,0,0,2.65,3,5,71,46.90589358,189822.17598301,4815.52965754872
0,1,8,7,11.35589981,2,19.93510055,2,4.4,10,19.83869934,9,0.11967272,2,0,0,0,0,20.09221833,1,0,10,0,0,23.61561038,9,3,9,0,0,0,0,3.6,4,4,72,20.09222214,81310.66348743,1342.05963298392
75.29639934,10,11.78569984,5,12.54950046,3,23.61030006,2,6,10,122.67199707,3,0.15671258,2,0,0,0,0,26.31095267,1,0,10,0,0,0,0,3,9,0,0,0,0,2.25,2,6,73,26.31095335,106477.07646768,1760.33340297566
0,1,4,10,35.60260009,9,10.61240005,4,5.2,2,73.59850311,4,0.17770528,3,0,0,0,0,29.83548219,1,1.13261115,2,0,0,7.73307427,7,3,9,0,0,0,0,2.05,2,5,74,29.83548086,120740.39031384,2037.51115256212
0,1,25.29059982,2,24.50589942,6,5.81794977,7,5.2,10,45.90060043,6,0.32115141,4,0,0,0,0,230.93240084,2,0,10,0.01381356,2,2.61682638,5,0,0,9.65047776,8,0,0,3.35,4,5,75,230.93240132,934554.00964518,7714.40128989873
0,1,9.6875,6,13.27320003,3,9.60169029,5,5,10,150.64100647,2,0.05945172,1,0,0,0,0,28.38810418,1,0,10,0,0,6.81750351,7,0,0,6.81750351,7,0,0,2.25,2,5,76,28.38810532,114883.04587904,2055.05082262311
0,1,4,10,47.97880172,10,7.14589977,6,7.4,10,21.9822998,8,0.05433253,1,0,0,0,0,25.94369938,1,0,10,0.25169887,6,0.4852816,3,0,0,0,0,0,0,2.9,3,8,77,25.94370347,104990.863,1755.38534171092
91.65580542,10,10.60000038,6,12.54950046,3,23.61030006,2,6.2,10,154.58700561,2,0.48166562,4,0,0,0,0,80.86830905,1,0,10,0.02436059,2,46.57980417,10,3,9,0,0,0,0,2.9,3,6,78,80.86831342,327263.76259558,2947.90210200336
13.9370343,6,2.98473,10,28.3206005,7,12.84770011,4,5.6,1,120.52700042,3,1.52335252,6,0,0,0,0,255.76029466,3,1.63453049,1,0,0,27.71919702,9,3,9,0.78723712,2,0,0,2.6,3,6,79,255.7602963,1035029.33779918,9633.39739872578
1.85082733,3,2.43018007,10,24.76129913,6,5.70514011,7,7.2,10,16.86590003,9,5.35444011,7,0,0,38.55643841,5,883.94523471,4,0,10,0,0,0.23266147,2,0,0,11.67616227,8,0,0,4.9,6,7,80,883.9452273,3577213.72900186,16978.9810441466
0,1,3.80155992,10,18.43779945,5,15.88129997,3,4.8,5,157.76899719,2,6.08056648,8,4,3,0,0,1020.88482722,5,0.30693374,5,2.40090746,9,10.2679947,8,3,9,1.64193252,3,0,0,4.1,5,5,81,1020.88483398,4131390.87249046,20087.7680486717
14.72617066,6,24.6875,2,24.50589942,6,5.81794977,7,6.2,10,91.25949859,4,0.17029457,3,0,0,0,0,28.59127532,1,0,10,0,0,29.40687291,9,0,0,70.76620321,10,0,0,3,3,6,82,28.59127281,115705.23881844,3625.01896872647
0.00517113,2,13.14290046,4,12.54950046,3,23.61030006,2,4.2,10,112.37400054,3,0.17277176,3,0,0,0,0,29.0071787,1,0,10,0.22890885,5,32.98149088,10,3,9,0,0,0,0,3.1,4,4,83,29.00718038,117388.36380768,1538.60724578907
100,10,3.29999995,10,35.60260009,9,10.61240005,4,8.6,10,92.69470214,4,0.12239742,2,0,0,0,0,20.54967705,1,0,10,0,0,47.85330675,10,3,9,0.08720331,2,0,0,3,3,9,84,20.54967835,83161.93047467,1288.51553689936
0,1,12.53750038,5,35.60260009,9,10.61240005,4,4.6,4,143.30499267,2,1.0103766,5,0,0,0,0,166.79943452,2,0.48307118,4,4.06086508,10,27.3457162,9,0,0,2.84777943,5,0,0,2.7,3,4,85,166.79943498,675016.06480253,4600.20609490975
0,1,3,10,18.43779945,5,15.88129997,3,4.4,3,151.79299926,2,0.62261975,5,0,0,0,0,104.53352761,2,0.58591727,3,0.14043341,4,34.64974427,10,3,9,0,0,0,0,2.55,3,4,86,104.53353242,423033.88917135,5242.49489888298
0,1,15,4,35.60260009,9,10.61240005,4,3.8,1,77.36609649,4,0.24505799,3,0,0,0,0,40.45574141,1,2.67195696,1,0.05932408,3,0.73611306,3,0,0,0,0,0,0,1.45,1,4,87,40.45574283,163719.23760019,2037.08567069893
0,1,6,8,47.97880172,10,7.14589977,6,6.6,8,97.17030334,4,0.08472468,1,0,0,0,0,40.45590341,1,0.03796726,8,0,0,0.52679579,3,0,0,0.52679579,2,0,0,1.9,2,7,88,40.45590301,163719.88583015,2417.58710136417
0,1,16.88240051,3,13.27320003,3,9.60169029,5,2.6,1,17.23780059,9,0.1897329,3,1,1,0,0,31.32232168,1,2.06983379,1,0.09545907,4,72.53964195,10,0,0,6.11959745,7,0,0,3.05,3,2,89,31.32232948,126757.47726899,2393.24049635518
56.41269515,9,3.83784008,10,23.51040077,6,3.99135994,8,8.6,10,122.13999939,3,0.63098672,5,1,1,0,0,453.72765705,3,0,10,0.20864939,5,4.87572217,6,0,0,15.50787546,9,0,0,3.5,4,9,90,453.72765778,1836178.03062836,11627.8239479402
0,1,19.70999908,3,13.27320003,3,9.60169029,5,3,3,116.97599792,3,0.76400914,5,0,0,0,0,461.8514234,3,0.64713452,3,0.07532725,3,13.88156379,8,0,0,7.83351488,8,0,0,2.65,3,3,91,461.85141955,1869053.85962304,12669.7794016301
15.09924827,6,8.67831993,7,37.83739852,9,11.73830032,4,7.2,10,171.22399902,2,0.39004051,4,0,0,0,0,280.46892953,3,0,10,0.14076425,4,1.78319217,4,0,0,7.92455693,8,0,0,2.95,3,7,92,280.46892501,1135022.01057943,8886.49167085699
0,1,6,8,47.97880172,10,7.14589977,6,7,10,90.15910339,4,0.08207397,1,0,0,0,0,39.19019362,1,0,10,0,0,8.66084008,8,0,0,25.92158665,10,0,0,2.75,3,7,93,39.19019784,158597.73822452,2521.71725610575
2.70519339,3,4.6535201,9,38.64619827,9,12.14579963,4,5.8,4,213.94999694,2,4.26540867,7,0,0,0,0,704.16095778,4,0.46280327,4,0.28229341,6,1.80900401,4,0,0,5.56200106,7,0,0,2.85,3,6,94,704.16095659,2849649.68817918,25833.4142624409
0,1,6.95165014,8,38.64619827,9,12.14579963,4,6.2,9,160.04299926,2,5.51310653,7,1,1,0,0,910.13890394,4,0.00189861,9,0.31269952,6,13.37788105,8,0,0,2.71613925,4,0,0,3.5,4,6,95,910.13890059,3683216.18801054,21915.9055541466
0.06884779,2,10.51739978,6,13.27320003,3,9.60169029,5,4.2,5,45.88460159,6,1.70678297,6,2,2,34.85650584,5,814.98616426,4,0.35314464,5,0.18184357,5,8.34692697,8,0,0,5.07454013,6,0,0,4.5,5,4,96,814.98616656,3298145.19489342,17060.8011421733
0,1,16.94120025,3,12.54950046,3,23.61030006,2,3.8,10,261.94500732,1,0.19422522,3,0,0,0,0,32.6090638,1,0,10,0,0,30.52096208,9,3,9,0,0,0,0,2.5,3,4,97,32.60906154,131964.71799094,1708.27690289565
0,1,7.18181991,7,38.64619827,9,12.14579963,4,6.2,10,163.64399719,2,0.14921615,2,0,0,0,0,24.6335573,1,0,10,0,0,78.97072988,10,0,0,6.89530943,7,0,0,2.5,3,6,98,24.63355673,99688.8660302,2581.73610444921
0.26625511,2,14,4,12.54950046,3,23.61030006,2,4.2,10,164.72999572,2,0.75521703,5,0,0,0,0,126.79568803,2,0,10,0.08628053,3,34.68698398,10,3,9,0,0,0,0,3.2,4,4,99,126.79569671,513126.03209095,4330.88101242505
0,1,15.92310047,4,38.64619827,9,12.14579963,4,4,2,104.53700256,3,0.28129939,4,0,0,0,0,202.27575283,2,1.13081274,2,0,0,0.16210544,2,0,0,1.21908828,3,0,0,1.6,2,4,100,202.27575362,818584.20698127,4946.30289670442
